VOC              TOG
000000 2201070154  1.03
000000 2201070170  1.03
000000 2201070171  1.03
000000 2201070172  1.03
000000 2201070173  1.03
000000 2201070174  1.03
000000 2201070190  1.03
000000 2201070191  1.03
000000 2201070192  1.03
000000 2201070193  1.03
000000 2201070194  1.03
000000 2201070210  1.03
000000 2201070211  1.03
000000 2201070212  1.03
000000 2201070213  1.03
000000 2201070214  1.03
000000 2201070230  1.03
000000 2201070231  1.03
000000 2201070232  1.03
000000 2201070233  1.03
000000 2201070234  1.03
000000 2201070250  1.03
000000 2201070251  1.03
000000 2201070252  1.03
000000 2201070253  1.03
000000 2201070254  1.03
000000 2201070270  1.03
000000 2201070271  1.03
000000 2201070272  1.03
000000 2201070273  1.03
000000 2201070274  1.03
000000 2201070290  1.03
000000 2201070291  1.03
000000 2201070292  1.03
000000 2201070293  1.03
000000 2201070294  1.03
000000 2201070310  1.03
000000 2201070311  1.03
000000 2201070312  1.03
000000 2201070313  1.03
000000 2201070314  1.03
000000 2201070330  1.03
000000 2201070331  1.03
000000 2201070332  1.03
000000 2201070333  1.03
000000 2201070334  1.03
000000 2230000000  1.06
000000 2230001000  1.06
000000 2230002000  1.06
000000 2230003000  1.06
000000 2230004000  1.06
000000 2230005000  1.06
000000 2230060000  1.06
000000 2230061000  1.06
000000 2230062000  1.06
000000 2230063000  1.06
000000 2230064000  1.06
000000 2230065000  1.06
000000 2230070000  1.06
000000 2230071000  1.06
000000 2230072000  1.06
000000 2230073000  1.06
000000 2230074000  1.06
000000 2230075000  1.06
000000 2280004000  1.03
000000 2280004010  1.03
000000 2280004020  1.03
000000 2280004030  1.03
000000 2280004040  1.03
000000 2260002000  1.03
000000 2260002003  1.03
000000 2260002006  1.03
000000 2260002009  1.03
000000 2260002012  1.03
000000 2260002015  1.03
000000 2260002018  1.03
000000 2260002021  1.03
000000 2260002024  1.03
000000 2260002027  1.03
000000 2260002030  1.03
000000 2260002033  1.03
000000 2260002036  1.03
000000 2260002039  1.03
000000 2260002042  1.03
000000 2260002045  1.03
000000 2260002048  1.03
000000 2260002051  1.03
000000 2260002054  1.03
000000 2260002057  1.03
000000 2260002060  1.03
000000 2260002063  1.03
000000 2260002066  1.03
000000 2260002069  1.03
000000 2260002072  1.03
000000 2260002075  1.03
000000 2260002078  1.03
000000 2260002081  1.03
000000 2260003000  1.03
000000 2260003010  1.03
000000 2260003020  1.03
000000 2260003030  1.03
000000 2260005000  1.03
000000 2260005010  1.03
000000 2260005015  1.03
000000 2260005020  1.03
000000 2260005025  1.03
000000 2260005030  1.03
000000 2260005035  1.03
000000 2260005040  1.03
000000 2260005045  1.03
000000 2260005050  1.03
000000 2260005055  1.03
000000 2260007000  1.03
000000 2260007005  1.03
000000 2260007010  1.03
000000 2260007015  1.03
000000 2260007020  1.03
000000 2260008000  1.03
000000 2260008005  1.03
000000 2260008010  1.03
000000 2265000000  1.03
000000 2265001054  1.03
000000 2265002000  1.03
000000 2265002003  1.03
000000 2265002006  1.03
000000 2265002009  1.03
000000 2265002012  1.03
000000 2265002015  1.03
000000 2265002018  1.03
000000 2265002021  1.03
000000 2265002024  1.03
000000 2265002027  1.03
000000 2265002030  1.03
000000 2265002033  1.03
000000 2265002036  1.03
000000 2265002039  1.03
000000 2265002042  1.03
000000 2265002045  1.03
000000 2265002048  1.03
000000 2265002051  1.03
000000 2265002054  1.03
000000 2265002057  1.03
000000 2265002060  1.03
000000 2265002063  1.03
000000 2265002066  1.03
000000 2265002069  1.03
000000 2265002072  1.03
000000 2265002075  1.03
000000 2265002078  1.03
000000 2265002081  1.03
000000 2265003000  1.03
000000 2265003010  1.03
000000 2265003020  1.03
000000 2265003030  1.03
000000 2265003040  1.03
000000 2265003050  1.03
000000 2265005000  1.03
000000 2265005010  1.03
000000 2265005015  1.03
000000 2265005020  1.03
000000 2265005025  1.03
000000 2265005030  1.03
000000 2265005035  1.03
000000 2265005040  1.03
000000 2265005045  1.03
000000 2265005050  1.03
000000 2265005055  1.03
000000 2265007000  1.03
000000 2265007005  1.03
000000 2265007010  1.03
000000 2265007015  1.03
000000 2265007020  1.03
000000 2265008000  1.03
000000 2265008005  1.03
000000 2265008010  1.03
000000 2311000070  1.03
000000 2311010070  1.03
000000 2311020070  1.03
000000 2311030070  1.03
000000 2415000000  1.36
000000 2415000999  1.36
000000 2415005000  1.36
000000 2415005999  1.36
000000 2415010000  1.36
000000 2415010999  1.36
000000 2415015000  1.36
000000 2415015999  1.36
000000 2415020000  1.36
000000 2415020999  1.36
000000 2415025000  1.36
000000 2415025999  1.36
000000 2415030000  1.36
000000 2415030999  1.36
000000 2415035000  1.36
000000 2415035999  1.36
000000 2415040000  1.36
000000 2415040999  1.36
000000 2415045000  1.36
000000 2415045999  1.36
000000 2415050000  1.36
000000 2415050999  1.36
000000 2415055000  1.36
000000 2415055999  1.36
000000 2415060000  1.36
000000 2415060999  1.36
000000 2415065000  1.36
000000 2415065999  1.36
000000 2415100000  1.36
000000 2415100999  1.36
000000 2415105000  1.36
000000 2415105999  1.36
000000 2415110000  1.36
000000 2415110999  1.36
000000 2415115000  1.36
000000 2415115999  1.36
000000 2415120000  1.36
000000 2415120999  1.36
000000 2415125000  1.36
000000 2415125999  1.36
000000 2415130000  1.36
000000 2415130999  1.36
000000 2415135000  1.36
000000 2415135999  1.36
000000 2415140000  1.36
000000 2415140999  1.36
000000 2415145000  1.36
000000 2415145999  1.36
000000 2415150000  1.36
000000 2415150999  1.36
000000 2415155000  1.36
000000 2415155999  1.36
000000 2415160000  1.36
000000 2415160999  1.36
000000 2415165000  1.36
000000 2415165999  1.36
000000 2415200000  1.36
000000 2415200999  1.36
000000 2415205000  1.36
000000 2415205999  1.36
000000 2415210000  1.36
000000 2415210999  1.36
000000 2415215000  1.36
000000 2415215999  1.36
000000 2415220000  1.36
000000 2415220999  1.36
000000 2415225000  1.36
000000 2415225999  1.36
000000 2415230000  1.36
000000 2415230999  1.36
000000 2415235000  1.36
000000 2415235999  1.36
000000 2415240000  1.36
000000 2415240999  1.36
000000 2415245000  1.36
000000 2415245999  1.36
000000 2415250000  1.36
000000 2415250999  1.36
000000 2415255000  1.36
000000 2415255999  1.36
000000 2415260000  1.36
000000 2415260999  1.36
000000 2415265000  1.36
000000 2415265999  1.36
000000 2415300000  1.36
000000 2415300999  1.36
000000 2415305000  1.36
000000 2415305999  1.36
000000 2415310000  1.36
000000 2415310999  1.36
000000 2415315000  1.36
000000 2415315999  1.36
000000 2415320000  1.36
000000 2415320999  1.36
000000 2415325000  1.36
000000 2415325999  1.36
000000 2415330000  1.36
000000 2415330999  1.36
000000 2415335000  1.36
000000 2415335999  1.36
000000 2415340000  1.36
000000 2415340999  1.36
000000 2415345000  1.36
000000 2415345999  1.36
000000 2415350000  1.36
000000 2415350999  1.36
